2025-05-24 16:51:56,807 - INFO - Trial 0 - Params: {'n_estimators': 332, 'max_depth': 10, 'learning_rate': 0.16338316188323204, 'subsample': 0.5174175300714327, 'colsample_bytree': 0.9885592988166956, 'gamma': 0.005190823596720184, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0206
2025-05-24 16:53:29,997 - INFO - Trial 29 - Params: {'n_estimators': 397, 'max_depth': 3, 'learning_rate': 0.03178859668021147, 'subsample': 0.8237431870744548, 'colsample_bytree': 0.7302789431054222, 'gamma': 0.04198499900896646, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0163
2025-05-24 16:53:32,183 - INFO - Trial 30 - Params: {'n_estimators': 377, 'max_depth': 10, 'learning_rate': 0.026578502016123468, 'subsample': 0.8340941878188144, 'colsample_bytree': 0.7269246906349631, 'gamma': 1.0545017541341013, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0195
2025-05-24 16:53:34,655 - INFO - Trial 31 - Params: {'n_estimators': 463, 'max_depth': 3, 'learning_rate': 0.05727254334907139, 'subsample': 0.7752951960040237, 'colsample_bytree': 0.7660849674529553, 'gamma': 0.11115199521214031, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0157
2025-05-24 16:53:37,156 - INFO - Trial 32 - Params: {'n_estimators': 245, 'max_depth': 3, 'learning_rate': 0.06171813201558232, 'subsample': 0.7588724317990524, 'colsample_bytree': 0.771172416541747, 'gamma': 0.4463354401538765, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0172
2025-05-24 16:53:39,496 - INFO - Trial 33 - Params: {'n_estimators': 457, 'max_depth': 3, 'learning_rate': 0.030331316065704064, 'subsample': 0.7360528238176243, 'colsample_bytree': 0.8049987677036543, 'gamma': 0.12363986554714632, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0156
2025-05-24 16:53:41,911 - INFO - Trial 34 - Params: {'n_estimators': 453, 'max_depth': 3, 'learning_rate': 0.12797509135123863, 'subsample': 0.7185432231004227, 'colsample_bytree': 0.8133753155291219, 'gamma': 0.0609235667159881, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0175
2025-05-24 16:53:43,458 - INFO - Trial 35 - Params: {'n_estimators': 336, 'max_depth': 3, 'learning_rate': 0.0988495818447375, 'subsample': 0.8219101295801168, 'colsample_bytree': 0.8586321421527984, 'gamma': 0.7396362996554191, 'min_child_weight': 8, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0180
2025-05-24 16:53:45,260 - INFO - Trial 36 - Params: {'n_estimators': 369, 'max_depth': 3, 'learning_rate': 0.1746256910871694, 'subsample': 0.7479232601957759, 'colsample_bytree': 0.7789676669588221, 'gamma': 3.4762650161483855, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0259
2025-05-24 16:53:46,100 - INFO - Trial 37 - Params: {'n_estimators': 161, 'max_depth': 3, 'learning_rate': 0.0745343023079793, 'subsample': 0.8598708480254235, 'colsample_bytree': 0.7283583074584731, 'gamma': 1.4345902729683604, 'min_child_weight': 8, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0206
2025-05-24 16:53:48,114 - INFO - Trial 38 - Params: {'n_estimators': 441, 'max_depth': 3, 'learning_rate': 0.04003007402425688, 'subsample': 0.7985202447340551, 'colsample_bytree': 0.799189609612986, 'gamma': 0.5638533417831849, 'min_child_weight': 8, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0174
2025-05-24 16:53:51,270 - INFO - Trial 39 - Params: {'n_estimators': 556, 'max_depth': 4, 'learning_rate': 0.018864936471918163, 'subsample': 0.6542007819547261, 'colsample_bytree': 0.7402776718164253, 'gamma': 0.2721108904959906, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0168
2025-05-24 16:53:54,227 - INFO - Trial 40 - Params: {'n_estimators': 550, 'max_depth': 9, 'learning_rate': 0.016774923771320196, 'subsample': 0.64298396609229, 'colsample_bytree': 0.8804893078782716, 'gamma': 0.8859195044857742, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0186
2025-05-24 16:53:55,937 - INFO - Trial 41 - Params: {'n_estimators': 294, 'max_depth': 4, 'learning_rate': 0.06212711298834455, 'subsample': 0.7201187492976222, 'colsample_bytree': 0.7423652125060133, 'gamma': 0.22678357022555334, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0164
2025-05-24 16:53:57,645 - INFO - Trial 42 - Params: {'n_estimators': 267, 'max_depth': 3, 'learning_rate': 0.03851066288985448, 'subsample': 0.6522350097865006, 'colsample_bytree': 0.8302779305920007, 'gamma': 0.0686190997667859, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0158
2025-05-24 16:53:59,611 - INFO - Trial 43 - Params: {'n_estimators': 267, 'max_depth': 3, 'learning_rate': 0.03983931759450301, 'subsample': 0.7123562775456665, 'colsample_bytree': 0.79965979841339, 'gamma': 0.024709685130530942, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0158
2025-05-24 16:54:00,678 - INFO - Trial 44 - Params: {'n_estimators': 209, 'max_depth': 3, 'learning_rate': 0.03686276009676273, 'subsample': 0.5730422412741807, 'colsample_bytree': 0.840212354354424, 'gamma': 4.867261729262717, 'min_child_weight': 8, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0310
2025-05-24 16:54:02,155 - INFO - Trial 45 - Params: {'n_estimators': 310, 'max_depth': 3, 'learning_rate': 0.18374642541509648, 'subsample': 0.7015599510808046, 'colsample_bytree': 0.8183869112619436, 'gamma': 0.08230622186758785, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0170
2025-05-24 16:54:04,048 - INFO - Trial 46 - Params: {'n_estimators': 407, 'max_depth': 3, 'learning_rate': 0.048995051490546886, 'subsample': 0.761107468756882, 'colsample_bytree': 0.7935349604924777, 'gamma': 0.4982042065361804, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0171
2025-05-24 16:54:04,922 - INFO - Trial 47 - Params: {'n_estimators': 103, 'max_depth': 7, 'learning_rate': 0.03264934608132418, 'subsample': 0.6276347669045124, 'colsample_bytree': 0.8804601983596005, 'gamma': 0.7701287080197488, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0183
2025-05-24 16:54:06,523 - INFO - Trial 48 - Params: {'n_estimators': 338, 'max_depth': 3, 'learning_rate': 0.09469784499621697, 'subsample': 0.59777224959994, 'colsample_bytree': 0.9395245933124394, 'gamma': 1.0963062470141758, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0191
2025-05-24 16:54:07,682 - INFO - Trial 49 - Params: {'n_estimators': 247, 'max_depth': 4, 'learning_rate': 0.2505217891546599, 'subsample': 0.7290606487533238, 'colsample_bytree': 0.8249701660107529, 'gamma': 2.4177892281862823, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0236
2025-05-24 16:54:12,415 - INFO - Final model trained with ensembling.
2025-05-24 17:02:56,128 - INFO - Final model trained with ensembling.
2025-05-24 17:18:41,727 - INFO - Final model trained with ensembling.
2025-05-24 17:55:58,360 - INFO - Final model trained with ensembling.
2025-05-24 17:59:55,682 - INFO - Trial 0 - Params: {'n_estimators': 832, 'max_depth': 4, 'learning_rate': 0.11027691448984546, 'subsample': 0.5172396615461673, 'colsample_bytree': 0.7057789636349556, 'gamma': 1.5989271029122247, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0160
2025-05-24 17:59:59,560 - INFO - Trial 1 - Params: {'n_estimators': 576, 'max_depth': 9, 'learning_rate': 0.06524261241003936, 'subsample': 0.8745758542317108, 'colsample_bytree': 0.5661933475943804, 'gamma': 0.6191938276177572, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0183
2025-05-24 18:00:03,523 - INFO - Trial 2 - Params: {'n_estimators': 873, 'max_depth': 3, 'learning_rate': 0.022442531000156248, 'subsample': 0.915479880271156, 'colsample_bytree': 0.7045675285120772, 'gamma': 3.9646298874158563, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0167
2025-05-24 18:00:08,050 - INFO - Trial 3 - Params: {'n_estimators': 662, 'max_depth': 6, 'learning_rate': 0.026073827873665037, 'subsample': 0.8333587058949022, 'colsample_bytree': 0.6382327970080435, 'gamma': 0.6701549436542387, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0170
2025-05-24 18:00:12,254 - INFO - Trial 4 - Params: {'n_estimators': 946, 'max_depth': 7, 'learning_rate': 0.1931291744444379, 'subsample': 0.8469570158402315, 'colsample_bytree': 0.6089118115555177, 'gamma': 2.432929647647966, 'min_child_weight': 8, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0174
2025-05-24 18:00:14,523 - INFO - Trial 5 - Params: {'n_estimators': 441, 'max_depth': 7, 'learning_rate': 0.21476979502693522, 'subsample': 0.905879203153005, 'colsample_bytree': 0.7391604589718259, 'gamma': 0.9926989129734315, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0179
2025-05-24 18:00:15,895 - INFO - Trial 6 - Params: {'n_estimators': 255, 'max_depth': 5, 'learning_rate': 0.29493558690809646, 'subsample': 0.8261543711844774, 'colsample_bytree': 0.9914012289118016, 'gamma': 2.812594797784746, 'min_child_weight': 9, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0173
2025-05-24 18:00:20,404 - INFO - Trial 7 - Params: {'n_estimators': 807, 'max_depth': 8, 'learning_rate': 0.12179582382636155, 'subsample': 0.5952122992687029, 'colsample_bytree': 0.6988299026341558, 'gamma': 0.28768187663185174, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0185
2025-05-24 18:00:23,384 - INFO - Trial 8 - Params: {'n_estimators': 681, 'max_depth': 6, 'learning_rate': 0.1617069000008397, 'subsample': 0.9991208595111598, 'colsample_bytree': 0.9597932488592753, 'gamma': 2.6226985147947737, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0183
2025-05-24 18:00:25,739 - INFO - Trial 9 - Params: {'n_estimators': 359, 'max_depth': 8, 'learning_rate': 0.029988862522898063, 'subsample': 0.7864114861996374, 'colsample_bytree': 0.8164895488189561, 'gamma': 2.940186753473043, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0168
2025-05-24 18:00:30,071 - INFO - Trial 10 - Params: {'n_estimators': 987, 'max_depth': 3, 'learning_rate': 0.10764769702537388, 'subsample': 0.5276415102250431, 'colsample_bytree': 0.8349736983032142, 'gamma': 4.22056025464582, 'min_child_weight': 6, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0174
2025-05-24 18:00:33,465 - INFO - Trial 11 - Params: {'n_estimators': 796, 'max_depth': 3, 'learning_rate': 0.08524471275257531, 'subsample': 0.6816659947332007, 'colsample_bytree': 0.8123282689577406, 'gamma': 4.8539207318217725, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0176
2025-05-24 18:00:37,344 - INFO - Trial 12 - Params: {'n_estimators': 877, 'max_depth': 4, 'learning_rate': 0.06613493828436559, 'subsample': 0.6968179290121944, 'colsample_bytree': 0.5070004568966374, 'gamma': 1.6865160927718932, 'min_child_weight': 1, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0169
2025-05-24 18:00:38,047 - INFO - Trial 13 - Params: {'n_estimators': 105, 'max_depth': 4, 'learning_rate': 0.14268826895885373, 'subsample': 0.9976331226631991, 'colsample_bytree': 0.6751995512791996, 'gamma': 3.694622340435856, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0176
2025-05-24 18:00:41,986 - INFO - Trial 14 - Params: {'n_estimators': 737, 'max_depth': 4, 'learning_rate': 0.012289106574085419, 'subsample': 0.5134289180544451, 'colsample_bytree': 0.7617421156953443, 'gamma': 3.5650481026556657, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0170
2025-05-24 18:00:44,558 - INFO - Trial 15 - Params: {'n_estimators': 564, 'max_depth': 5, 'learning_rate': 0.2594744580387795, 'subsample': 0.6317118547032561, 'colsample_bytree': 0.8958889389231199, 'gamma': 1.560364878910689, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0166
2025-05-24 18:00:46,864 - INFO - Trial 16 - Params: {'n_estimators': 516, 'max_depth': 5, 'learning_rate': 0.2895741491265941, 'subsample': 0.5962706523860649, 'colsample_bytree': 0.913718926011801, 'gamma': 1.6662643984891208, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0179
2025-05-24 18:00:49,295 - INFO - Trial 17 - Params: {'n_estimators': 550, 'max_depth': 5, 'learning_rate': 0.24049107066084047, 'subsample': 0.6098107013954691, 'colsample_bytree': 0.8973910992390842, 'gamma': 1.5166254691829633, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0160
2025-05-24 18:00:51,169 - INFO - Trial 18 - Params: {'n_estimators': 374, 'max_depth': 10, 'learning_rate': 0.22681814016113763, 'subsample': 0.5708124085888452, 'colsample_bytree': 0.88508446920239, 'gamma': 1.9903492285584719, 'min_child_weight': 6, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0162
2025-05-24 18:00:54,312 - INFO - Trial 19 - Params: {'n_estimators': 662, 'max_depth': 5, 'learning_rate': 0.15700876407215558, 'subsample': 0.7123006062044346, 'colsample_bytree': 0.7697819836617578, 'gamma': 1.1407630726150313, 'min_child_weight': 10, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0168
2025-05-24 18:00:56,960 - INFO - Trial 20 - Params: {'n_estimators': 225, 'max_depth': 6, 'learning_rate': 0.18187861831701108, 'subsample': 0.6412945801431195, 'colsample_bytree': 0.84459156607172, 'gamma': 0.07039740015662854, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0193
2025-05-24 18:00:58,956 - INFO - Trial 21 - Params: {'n_estimators': 407, 'max_depth': 10, 'learning_rate': 0.233999471982945, 'subsample': 0.5588907256343069, 'colsample_bytree': 0.9335113811009619, 'gamma': 2.122086989272784, 'min_child_weight': 6, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0168
2025-05-24 18:01:01,254 - INFO - Trial 22 - Params: {'n_estimators': 494, 'max_depth': 10, 'learning_rate': 0.25166625906221496, 'subsample': 0.5603052095350355, 'colsample_bytree': 0.8792161737332853, 'gamma': 2.0900671110468148, 'min_child_weight': 7, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0166
2025-05-24 18:01:02,900 - INFO - Trial 23 - Params: {'n_estimators': 317, 'max_depth': 4, 'learning_rate': 0.2190535836577849, 'subsample': 0.5124618255992606, 'colsample_bytree': 0.9964254497541587, 'gamma': 1.28489534947292, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0154
2025-05-24 18:01:04,496 - INFO - Trial 24 - Params: {'n_estimators': 290, 'max_depth': 4, 'learning_rate': 0.2074968809825083, 'subsample': 0.502466044200008, 'colsample_bytree': 0.9979317142393217, 'gamma': 1.1787174163503422, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0157
2025-05-24 18:01:07,926 - INFO - Trial 25 - Params: {'n_estimators': 308, 'max_depth': 4, 'learning_rate': 0.19208792749972947, 'subsample': 0.6401887478623169, 'colsample_bytree': 0.9963298155353963, 'gamma': 1.147240555824728, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0165
2025-05-24 18:01:09,615 - INFO - Trial 26 - Params: {'n_estimators': 156, 'max_depth': 5, 'learning_rate': 0.2667958045406237, 'subsample': 0.5037000425287732, 'colsample_bytree': 0.9519032138599687, 'gamma': 0.8656772639395172, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0166
2025-05-24 18:01:11,053 - INFO - Trial 27 - Params: {'n_estimators': 238, 'max_depth': 3, 'learning_rate': 0.21134144937438076, 'subsample': 0.5488250435121216, 'colsample_bytree': 0.9664105304651752, 'gamma': 1.4135797522753122, 'min_child_weight': 2, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0169
2025-05-24 18:01:13,051 - INFO - Trial 28 - Params: {'n_estimators': 312, 'max_depth': 4, 'learning_rate': 0.17677227641152346, 'subsample': 0.5980493657573421, 'colsample_bytree': 0.9991309700067489, 'gamma': 0.5430246831624297, 'min_child_weight': 5, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0180
2025-05-24 18:01:15,279 - INFO - Trial 29 - Params: {'n_estimators': 465, 'max_depth': 4, 'learning_rate': 0.23321789527699022, 'subsample': 0.7547040014453023, 'colsample_bytree': 0.9306505189369185, 'gamma': 1.3496874259878466, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0162
2025-05-24 18:01:16,312 - INFO - Trial 30 - Params: {'n_estimators': 184, 'max_depth': 6, 'learning_rate': 0.2776000044799982, 'subsample': 0.5025365151428374, 'colsample_bytree': 0.8699761161371262, 'gamma': 1.907751424703664, 'min_child_weight': 4, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0180
2025-05-24 18:01:19,370 - INFO - Trial 31 - Params: {'n_estimators': 587, 'max_depth': 5, 'learning_rate': 0.1354278187253388, 'subsample': 0.535209551532593, 'colsample_bytree': 0.790431905054273, 'gamma': 0.6014795715687346, 'min_child_weight': 3, 'random_state': 42, 'tree_method': 'hist'} - MSE: 0.0182
